neighbourhood_n,number_of_reviews,minimum_nights,availability_365,room_type_n,price
14,23,2,4,1,154
6,22,1,236,0,48
28,3,4,100,1,248
2,0,4,0,1,109
12,0,3,0,0,50
13,19,2,1,1,140
7,1,3,244,1,428
15,14,5,0,1,85
9,0,15,0,0,60
2,1,7,280,1,130
82,59,2,80,1,137
1,3,7,4,1,106
52,11,3,164,1,999
2,14,2,238,0,70
98,19,3,228,1,115
8,9,5,0,1,130
45,7,2,0,1,45
95,17,5,331,1,70
21,4,2,0,0,40
2,1,5,7,1,89
23,8,3,79,1,190
19,2,1,180,0,250
13,3,2,28,1,250
28,48,1,8,0,60
37,12,1,159,1,96
20,2,7,0,1,85
3,16,7,185,0,98
6,54,2,267,1,140
6,1,7,0,0,48
1,36,5,124,1,350
14,19,2,274,0,149
8,5,5,0,1,500
16,0,1,0,1,150
56,1,3,0,1,75
12,0,2,0,0,97
1,7,2,257,1,245
28,0,1,0,0,150
2,82,4,46,1,150
1,69,2,149,1,255
15,0,3,0,1,160
2,69,3,226,1,245
1,8,14,310,1,175
116,7,2,305,0,60
4,14,1,83,2,45
14,164,3,71,1,250
6,4,3,365,1,175
33,0,1,0,1,200
15,0,1,0,0,45
15,0,1,177,0,150
20,6,3,43,1,120
100,0,3,270,1,250
28,52,1,3,1,479
16,2,2,102,0,50
30,9,1,0,0,75
19,5,14,2,1,300
84,22,5,60,1,80
2,8,7,234,1,165
152,1,5,365,0,100
13,0,1,0,1,410
15,1,1,0,0,85
3,4,5,0,0,60
21,8,2,0,0,45
75,24,1,89,2,40
19,3,8,0,0,90
25,36,2,48,1,120
5,32,2,0,1,125
12,1,2,0,1,260
2,5,2,19,1,182
7,9,10,174,1,132
30,5,3,0,0,55
29,1,5,0,1,149
11,6,2,0,1,170
6,40,3,212,0,37
70,84,2,273,0,40
39,7,2,0,0,50
30,48,2,122,0,88
37,65,2,361,0,54
25,0,1,359,0,89
12,16,2,0,1,125
30,22,1,334,1,140
103,95,1,341,1,257
7,3,2,212,1,250
28,47,3,0,1,200
2,7,2,0,1,130
8,7,4,0,1,120
24,47,3,76,0,50
12,92,1,138,1,175
19,6,7,0,1,137
11,4,2,12,1,154
17,61,2,337,1,100
11,9,2,41,1,290
35,28,2,38,0,37
7,6,6,12,1,195
70,34,1,122,1,90
39,1,3,330,0,80
2,67,7,0,0,70
15,1,5,0,1,70
7,0,6,87,1,250
1,58,1,0,0,119
8,0,1,363,0,85
12,56,7,132,1,260
2,1,1,0,1,300
34,116,1,236,0,129
81,3,1,35,0,49
25,3,1,0,1,195
24,117,5,73,1,100
21,5,2,0,0,90
12,202,4,53,0,69
81,67,1,173,0,85
152,73,1,340,0,59
13,11,2,0,0,96
15,5,1,0,1,110
23,98,1,240,1,95
2,47,1,10,0,70
189,17,5,305,1,85
71,163,1,102,0,40
15,5,3,8,1,100
18,4,3,179,0,99
